network,registered_country_geoname_id
2.16.60.68/30,
2.16.60.72/30,
2.16.60.76/30,
2.16.60.80/30,
2.16.60.84/30,
2.16.60.88/30,
2.16.60.92/30,
2.16.60.96/30,
2.16.60.100/30,
2.16.60.104/30,
2.16.60.108/30,
2.16.60.112/30,
2.16.60.116/31,
2.16.60.118/32,
2.16.60.119/32,
2.16.60.120/30,
2.16.60.124/32,
2.16.60.125/32,
2.16.60.126/32,
2.16.60.127/32,
2.16.60.128/30,
2.16.60.132/30,
2.16.60.136/30,
2.16.60.140/30,
2.16.60.144/30,
2.16.60.148/30,
2.16.60.152/30,
2.16.60.156/30,
2.16.60.160/30,
2.16.60.164/32,
2.16.60.165/32,
2.16.60.166/31,
2.16.60.168/29,
2.16.60.176/28,
2.16.60.192/26,
2.16.61.0/27,
2.16.61.32/29,
2.16.61.40/30,
2.16.61.44/32,
2.16.61.45/32,
2.16.61.46/31,
2.16.61.48/30,
2.16.61.52/30,
2.16.61.56/30,
2.16.61.60/30,
2.16.61.64/30,
2.16.61.68/30,
2.16.61.72/30,
2.16.61.76/30,
2.16.61.80/30,
2.16.61.84/30,
2.16.61.88/30,
2.16.61.92/30,
2.16.61.96/30,
2.16.61.100/30,
2.16.61.104/30,
2.16.61.108/30,
2.16.61.112/30,
2.16.61.116/32,
2.16.61.117/32,
2.16.61.118/31,
2.16.61.120/29,
2.16.61.128/25,
2.16.62.0/23,
2.16.64.0/30,
2.16.64.4/30,
2.16.64.8/30,
2.16.64.12/30,
2.16.64.16/30,
2.16.64.20/30,
2.16.64.24/30,
2.16.64.28/30,
2.16.64.32/30,
2.16.64.36/30,
2.16.64.40/30,
2.16.64.44/30,
2.16.64.48/30,
2.16.64.52/30,
2.16.64.56/30,
2.16.64.60/30,
2.16.64.64/26,
2.16.64.128/25,
2.16.65.0/30,
2.16.65.4/30,
2.16.65.8/30,
2.16.65.12/30,
2.16.65.16/30,
2.16.65.20/31,
2.16.65.22/31,
2.16.65.24/29,
2.16.65.32/27,
2.16.65.64/26,
2.16.65.128/26,
2.16.65.192/30,
2.16.65.196/30,
2.16.65.200/30,
2.16.65.204/30,
2.16.65.208/30,
2.16.65.212/30,
2.16.65.216/29,
2.16.65.224/27,
2.16.66.0/23,
2.16.68.0/22,
2.16.72.0/21,
2.16.80.0/21,
2.16.88.0/30,
2.16.88.4/30,
2.16.88.8/30,
2.16.88.12/30,
2.16.88.16/30,
2.16.88.20/30,
2.16.88.24/30,
2.16.88.28/30,
2.16.88.32/30,
2.16.88.36/30,
2.16.88.40/30,
2.16.88.44/30,
2.16.88.48/30,
2.16.88.52/30,
2.16.88.56/30,
2.16.88.60/30,
2.16.88.64/30,
2.16.88.68/30,
2.16.88.72/30,
2.16.88.76/30,
2.16.88.80/30,
2.16.88.84/30,
2.16.88.88/30,
2.16.88.92/30,
2.16.88.96/30,
2.16.88.100/30,
2.16.88.104/30,
2.16.88.108/30,
2.16.88.112/30,
2.16.88.116/30,
2.16.88.120/30,
2.16.88.124/31,
2.16.88.126/31,
2.16.88.128/25,
2.16.89.0/24,
2.16.90.0/23,
2.16.92.0/22,
2.16.96.0/22,
2.16.100.0/29,
2.16.100.8/30,
2.16.100.12/30,
2.16.100.16/30,
2.16.100.20/30,
2.16.100.24/30,
2.16.100.28/30,
2.16.100.32/30,
2.16.100.36/30,
2.16.100.40/30,
2.16.100.44/30,
2.16.100.48/30,
2.16.100.52/30,
2.16.100.56/30,
2.16.100.60/31,
2.16.100.62/32,
2.16.100.63/32,
2.16.100.64/27,
2.16.100.96/28,
2.16.100.112/29,
2.16.100.120/30,
2.16.100.124/30,
2.16.100.128/30,
2.16.100.132/32,
2.16.100.133/32,
2.16.100.134/31,
2.16.100.136/30,
2.16.100.140/30,
2.16.100.144/28,
2.16.100.160/27,
2.16.100.192/26,
2.16.101.0/30,
2.16.101.4/30,
2.16.101.8/30,
2.16.101.12/30,
2.16.101.16/30,
2.16.101.20/30,
2.16.101.24/30,
2.16.101.28/30,
2.16.101.32/30,
2.16.101.36/30,
2.16.101.40/30,
2.16.101.44/30,
2.16.101.48/30,
2.16.101.52/30,
2.16.101.56/30,
2.16.101.60/30,
2.16.101.64/30,
2.16.101.68/30,
2.16.101.72/30,
2.16.101.76/30,
2.16.101.80/30,
2.16.101.84/30,
2.16.101.88/30,
2.16.101.92/30,
2.16.101.96/30,
2.16.101.100/30,
2.16.101.104/30,
2.16.101.108/30,
2.16.101.112/30,
2.16.101.116/30,
2.16.101.120/29,
2.16.101.128/25,
2.16.102.0/24,
2.16.103.0/28,
2.16.103.16/30,
2.16.103.20/31,
2.16.103.22/32,
2.16.103.23/32,
2.16.103.24/30,
2.16.103.28/32,
2.16.103.29/32,
2.16.103.30/31,
2.16.103.32/30,
2.16.103.36/30,
2.16.103.40/30,
2.16.103.44/30,
2.16.103.48/30,
2.16.103.52/30,
2.16.103.56/30,
2.16.103.60/30,
2.16.103.64/30,
2.16.103.68/30,
2.16.103.72/30,
2.16.103.76/30,
2.16.103.80/30,
2.16.103.84/32,
2.16.103.85/32,
2.16.103.86/31,
2.16.103.88/29,
2.16.103.96/27,
2.16.103.128/25,
2.16.104.0/23,
2.16.106.0/30,
2.16.106.4/30,
2.16.106.8/30,
2.16.106.12/30,
2.16.106.16/30,
2.16.106.20/30,
2.16.106.24/30,
2.16.106.28/30,
2.16.106.32/30,
2.16.106.36/31,
2.16.106.38/31,
2.16.106.40/29,
2.16.106.48/28,
2.16.106.64/26,
2.16.106.128/25,
2.16.107.0/24,
2.16.108.0/30,
2.16.108.4/30,
2.16.108.8/30,
2.16.108.12/32,
2.16.108.13/32,
2.16.108.14/31,
2.16.108.16/30,
2.16.108.20/30,
2.16.108.24/30,
2.16.108.28/30,
2.16.108.32/30,
2.16.108.36/30,
2.16.108.40/30,
2.16.108.44/30,
2.16.108.48/30,
2.16.108.52/30,
2.16.108.56/30,
2.16.108.60/30,
2.16.108.64/30,
2.16.108.68/30,
2.16.108.72/30,
2.16.108.76/30,
2.16.108.80/30,
2.16.108.84/30,
2.16.108.88/30,
2.16.108.92/31,
2.16.108.94/31,
2.16.108.96/30,
2.16.108.100/30,
2.16.108.104/30,
2.16.108.108/30,
2.16.108.112/30,
2.16.108.116/30,
2.16.108.120/30,
2.16.108.124/30,
2.16.108.128/30,
2.16.108.132/30,
2.16.108.136/30,
2.16.108.140/30,
2.16.108.144/30,
2.16.108.148/30,
2.16.108.152/30,
2.16.108.156/30,
2.16.108.160/30,
2.16.108.164/30,
2.16.108.168/29,
2.16.108.176/28,
2.16.108.192/26,
2.16.109.0/24,
2.16.110.0/23,
2.16.112.0/23,
2.16.114.0/24,
2.16.115.0/26,
2.16.115.64/29,
2.16.115.72/30,
2.16.115.76/30,
2.16.115.80/30,
2.16.115.84/30,
2.16.115.88/30,
2.16.115.92/30,
2.16.115.96/30,
2.16.115.100/30,
2.16.115.104/30,
2.16.115.108/30,
2.16.115.112/30,
2.16.115.116/30,
2.16.115.120/30,
2.16.115.124/30,
2.16.115.128/30,
2.16.115.132/32,
2.16.115.133/32,
2.16.115.134/31,
2.16.115.136/30,
2.16.115.140/31,
2.16.115.142/32,
2.16.115.143/32,
2.16.115.144/28,
2.16.115.160/27,
2.16.115.192/26,
2.16.116.0/24,
2.16.117.0/25,
2.16.117.128/27,
2.16.117.160/28,
2.16.117.176/30,
2.16.117.180/32,
2.16.117.181/32,
2.16.117.182/31,
2.16.117.184/32,
2.16.117.185/32,
2.16.117.186/31,
2.16.117.188/30,
2.16.117.192/28,
2.16.117.208/29,
2.16.117.216/31,
2.16.117.218/32,
2.16.117.219/32,
2.16.117.220/30,
2.16.117.224/27,
2.16.118.0/23,
2.16.120.0/21,
2.16.128.0/30,
2.16.128.4/30,
2.16.128.8/30,
2.16.128.12/30,
2.16.128.16/30,
2.16.128.20/30,
2.16.128.24/30,
2.16.128.28/30,
2.16.128.32/30,
2.16.128.36/30,
2.16.128.40/30,
2.16.128.44/30,
2.16.128.48/30,
2.16.128.52/30,
2.16.128.56/30,
2.16.128.60/30,
2.16.128.64/30,
2.16.128.68/30,
2.16.128.72/30,
2.16.128.76/30,
2.16.128.80/30,
2.16.128.84/30,
2.16.128.88/30,
2.16.128.92/30,
2.16.128.96/30,
2.16.128.100/30,
2.16.128.104/30,
2.16.128.108/30,
2.16.128.112/30,
2.16.128.116/30,
2.16.128.120/30,
2.16.128.124/30,
2.16.128.128/30,
2.16.128.132/30,
2.16.128.136/30,
2.16.128.140/30,
2.16.128.144/30,
2.16.128.148/30,
2.16.128.152/30,
2.16.128.156/30,
2.16.128.160/30,
2.16.128.164/30,
2.16.128.168/30,
2.16.128.172/30,
2.16.128.176/30,
2.16.128.180/30,
2.16.128.184/30,
2.16.128.188/30,
2.16.128.192/30,
2.16.128.196/30,
2.16.128.200/30,
2.16.128.204/30,
2.16.128.208/30,
2.16.128.212/30,
2.16.128.216/30,
2.16.128.220/30,
2.16.128.224/30,
2.16.128.228/31,
2.16.128.230/31,
2.16.128.232/29,
2.16.128.240/28,
2.16.129.0/24,
2.16.130.0/23,
2.16.132.0/23,
2.16.134.0/24,
2.16.135.0/30,
2.16.135.4/31,
2.16.135.6/32,
2.16.135.7/32,
2.16.135.8/30,
2.16.135.12/31,
2.16.135.14/32,
2.16.135.15/32,
2.16.135.16/28,
2.16.135.32/27,
2.16.135.64/26,
2.16.135.128/25,
2.16.136.0/21,
2.16.144.0/21,
2.16.152.0/24,
2.16.153.0/26,
2.16.153.64/27,
2.16.153.96/29,
2.16.153.104/30,
2.16.153.108/30,
2.16.153.112/28,
2.16.153.128/30,
2.16.153.132/31,
2.16.153.134/32,
2.16.153.135/32,
2.16.153.136/30,
2.16.153.140/32,
2.16.153.141/32,
2.16.153.142/31,
2.16.153.144/28,
2.16.153.160/28,
2.16.153.176/30,
2.16.153.180/31,
2.16.153.182/31,
2.16.153.184/29,
2.16.153.192/26,
2.16.154.0/30,
2.16.154.4/30,
2.16.154.8/30,
2.16.154.12/30,
2.16.154.16/30,
2.16.154.20/30,
2.16.154.24/30,
2.16.154.28/31,
2.16.154.30/31,
2.16.154.32/27,
2.16.154.64/26,
2.16.154.128/25,
2.16.155.0/24,
2.16.156.0/23,
2.16.158.0/28,
2.16.158.16/30,
2.16.158.20/31,
2.16.158.22/31,
2.16.158.24/30,
2.16.158.28/30,
2.16.158.32/30,
2.16.158.36/30,
2.16.158.40/30,
2.16.158.44/30,
2.16.158.48/30,
2.16.158.52/30,
2.16.158.56/30,
2.16.158.60/30,
2.16.158.64/30,
2.16.158.68/30,
2.16.158.72/30,
2.16.158.76/30,
2.16.158.80/30,
2.16.158.84/30,
2.16.158.88/30,
2.16.158.92/31,
2.16.158.94/31,
2.16.158.96/27,
2.16.158.128/25,
2.16.159.0/24,
2.16.160.0/23,
2.16.162.0/27,
2.16.162.32/29,
2.16.162.40/30,
2.16.162.44/30,
2.16.162.48/30,
2.16.162.52/30,
2.16.162.56/30,
2.16.162.60/30,
2.16.162.64/30,
2.16.162.68/30,
2.16.162.72/30,
2.16.162.76/30,
2.16.162.80/30,
2.16.162.84/30,
2.16.162.88/30,
2.16.162.92/30,
2.16.162.96/30,
2.16.162.100/30,
2.16.162.104/30,
2.16.162.108/30,
2.16.162.112/30,
2.16.162.116/30,
2.16.162.120/30,
2.16.162.124/30,
2.16.162.128/30,
2.16.162.132/30,
2.16.162.136/30,
2.16.162.140/30,
2.16.162.144/30,
2.16.162.148/30,
2.16.162.152/30,
2.16.162.156/30,
2.16.162.160/30,
2.16.162.164/30,
2.16.162.168/29,
2.16.162.176/28,
2.16.162.192/26,
2.16.163.0/24,
2.16.164.0/24,
2.16.165.0/26,
2.16.165.64/28,
2.16.165.80/30,
2.16.165.84/31,
2.16.165.86/31,
2.16.165.88/31,
2.16.165.90/31,
2.16.165.92/31,
2.16.165.94/31,
2.16.165.96/31,
2.16.165.98/31,
2.16.165.100/31,
2.16.165.102/31,
2.16.165.104/31,
2.16.165.106/31,
2.16.165.108/31,
2.16.165.110/31,
2.16.165.112/31,
2.16.165.114/31,
2.16.165.116/31,
2.16.165.118/31,
2.16.165.120/31,
2.16.165.122/31,
2.16.165.124/31,
2.16.165.126/31,
2.16.165.128/31,
2.16.165.130/31,
2.16.165.132/31,
2.16.165.134/31,
2.16.165.136/31,
2.16.165.138/31,
2.16.165.140/31,
2.16.165.142/32,
2.16.165.143/32,
2.16.165.144/31,
2.16.165.146/31,
2.16.165.148/31,
2.16.165.150/31,
2.16.165.152/31,
2.16.165.154/31,
2.16.165.156/31,
2.16.165.158/31,
2.16.165.160/31,
2.16.165.162/31,
2.16.165.164/31,
2.16.165.166/31,
2.16.165.168/31,
2.16.165.170/31,
2.16.165.172/31,
2.16.165.174/31,
2.16.165.176/31,
2.16.165.178/31,
2.16.165.180/31,
2.16.165.182/31,
2.16.165.184/31,
2.16.165.186/31,
2.16.165.188/31,
2.16.165.190/31,
2.16.165.192/31,
2.16.165.194/31,
2.16.165.196/31,
2.16.165.198/31,
2.16.165.200/31,
2.16.165.202/31,
2.16.165.204/31,
2.16.165.206/31,
2.16.165.208/31,
2.16.165.210/31,
2.16.165.212/31,
2.16.165.214/31,
2.16.165.216/31,
2.16.165.218/31,
2.16.165.220/31,
2.16.165.222/31,
2.16.165.224/31,
2.16.165.226/31,
2.16.165.228/31,
2.16.165.230/32,
2.16.165.231/32,
2.16.165.232/29,
2.16.165.240/28,
2.16.166.0/27,
2.16.166.32/29,
2.16.166.40/30,
2.16.166.44/30,
2.16.166.48/30,
2.16.166.52/30,
2.16.166.56/30,
2.16.166.60/30,
2.16.166.64/30,
2.16.166.68/30,
2.16.166.72/30,
2.16.166.76/30,
2.16.166.80/30,
2.16.166.84/30,
2.16.166.88/30,
2.16.166.92/30,
2.16.166.96/30,
2.16.166.100/30,
2.16.166.104/29,
2.16.166.112/28,
2.16.166.128/25,
2.16.167.0/30,
2.16.167.4/30,
2.16.167.8/30,
2.16.167.12/30,
2.16.167.16/30,
2.16.167.20/30,
2.16.167.24/30,
2.16.167.28/30,
2.16.167.32/30,
2.16.167.36/30,
2.16.167.40/30,
2.16.167.44/30,
2.16.167.48/30,
2.16.167.52/30,
2.16.167.56/30,
2.16.167.60/30,
2.16.167.64/30,
2.16.167.68/30,
2.16.167.72/30,
2.16.167.76/30,
2.16.167.80/30,
2.16.167.84/30,
2.16.167.88/30,
2.16.167.92/30,
2.16.167.96/30,
2.16.167.100/30,
2.16.167.104/30,
2.16.167.108/30,
2.16.167.112/30,
2.16.167.116/30,
2.16.167.120/30,
2.16.167.124/30,
2.16.167.128/30,
2.16.167.132/30,
2.16.167.136/30,
2.16.167.140/31,
2.16.167.142/31,
2.16.167.144/28,
2.16.167.160/27,
2.16.167.192/26,
2.16.168.0/23,
2.16.170.0/25,
2.16.170.128/27,
2.16.170.160/28,
2.16.170.176/30,
2.16.170.180/31,
2.16.170.182/31,
2.16.170.184/31,
2.16.170.186/31,
2.16.170.188/31,
2.16.170.190/31,
2.16.170.192/31,
2.16.170.194/31,
2.16.170.196/31,
2.16.170.198/31,
2.16.170.200/31,
2.16.170.202/31,
2.16.170.204/31,
2.16.170.206/31,
2.16.170.208/31,
2.16.170.210/31,
2.16.170.212/31,
2.16.170.214/31,
2.16.170.216/31,
2.16.170.218/31,
2.16.170.220/31,
2.16.170.222/31,
2.16.170.224/31,
2.16.170.226/31,
2.16.170.228/31,
2.16.170.230/31,
2.16.170.232/31,
2.16.170.234/31,
